page_a,page_b,resolved_page_b,name_a,name_b,reach,tier,second_verdict,confidence,recommended_default,licence_ground,first_pass_reason,second_evidence,corpus_confirms,existing_relations,duplicate_of_row
HOLD:existing:clobetasol,K1:ADN79D536H,K1:ADN79D536H,Clobetasol,CLOBETASOL,indexable,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII ADN79D536H: the structure on HOLD:existing:clobetasol is GSRS Clobetasol propionate (779619577M), one covalent molecule that adds propionate to CLOBETASOL. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:cortisone,K1:V27W9254FZ,K1:V27W9254FZ,Cortisone,Cortisone,indexable,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII V27W9254FZ: the structure on HOLD:existing:cortisone is GSRS Cortisone acetate (883WKN7W8X), one covalent molecule that adds acetate to Cortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:halobetasol,K1:9P6159HM7T,K1:9P6159HM7T,Halobetasol,HALOBETASOL,indexable,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 9P6159HM7T: the structure on HOLD:existing:halobetasol is GSRS HALOBETASOL PROPIONATE (91A0K1TY3Z), one covalent molecule that adds propionate to HALOBETASOL. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
HOLD:existing:megestrol,K1:EA6LD1M70M,K1:EA6LD1M70M,Megestrol,Megestrol,indexable,1,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII EA6LD1M70M: the structure on HOLD:existing:megestrol is GSRS Megestrol Acetate (TJ2M0FR8ES), one covalent molecule that adds acetate to Megestrol. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
K1:0RH81L854J,K4:glutamine nitrate,K4:glutamine nitrate,Glutamine,Glutamine Nitrate,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: Glutamine Nitrate = Glutamine + nitrate,,,
K1:169D1260KM,K1:EAO03PE1TC,K1:EAO03PE1TC,NITROPRUSSIDE,SODIUM NITROPRUSSIDE,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: SODIUM NITROPRUSSIDE = NITROPRUSSIDE + sodium,structure_conflict,,
K1:1Y17CTI5SR,K3:CHEMBL2108974,K3:CHEMBL2108974,Insulin human,INSULIN HUMAN ZINC,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",R7 §3.1/§3.1a salt or hydrate on the register's printed name: INSULIN HUMAN ZINC = Insulin human + zinc,,,
K1:26GW6E5M72,K1:M4F288ZCTR,K1:M4F288ZCTR,Heparin (PORCINE; 7000 MW),HEPARIN CALCIUM,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: HEPARIN CALCIUM = Heparin (PORCINE; 7000 MW) + calcium,,,
K1:3LE3D9D6OY,K1:G2SH0XKK91,K1:G2SH0XKK91,Vitamin A Acetate,Retinol,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R5 FDA active moiety: GSRS gives Retinol (81G40H8B0T) as the active moiety of Vitamin A Acetate,structure_conflict,,
K1:438HCF2X0M,K1:L7CHH2B2J0,K1:L7CHH2B2J0,Defibrotide (BOVINE),DEFIBROTIDE SODIUM,indexable,1,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,the evidence links the two pages but no rule in the spec's order decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: DEFIBROTIDE SODIUM = Defibrotide (BOVINE) + sodium,,,
