key,reason,evidence
K4:acids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Alpha Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:adenosine cyclic,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Adenosine Cyclic"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""FOCUS"", ""FOCUS (Smartphone Application)"", ""FOCUS (Universal Screening)"", ""FOCUS (focused cardiac ultrasound)"", ""FOCUS+ (face-to-face nurse-led intervention)"", ""Focus"", ""Oral Rehydration Solution"", ""Oral Rehydration Solution (ORS)""], ""pubchem"": ""no compound matched"", ""studies"": 27}"
K4:alkaline,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Alkaline"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Alkaline citrate""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:alkylglycerols,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Alkylglycerols"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:anthocyanosides,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Anthocyanosides"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:barberry,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Barberry"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Barberry tablet""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:beet nitrate,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Beet Nitrate"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Beet""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:berahyaluronidase alfa pmph#pmph,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Berahyaluronidase Alfa-Pmph"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""KEYTRUDA"", ""KEYTRUDA Injection"", ""KEYTRUDA \u00ae"", ""KEYTRUDA \u00ae( Pembrolizumab)"", ""KEYTRUDA\u00ae"", ""KEYTRUDA\u00ae (EU-sourced)"", ""KEYTRUDA\u00ae (pembrolizumab)"", ""Keytruda""], ""pubchem"": ""no compound matched"", ""studies"": 1341}"
K4:bioflavonoids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Bioflavonoids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
K4:black chokeberry,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Black Chokeberry"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Black chokeberry (Aronia melanocarpa)"", ""black chokeberry (Aronia melanocarpa)""], ""pubchem"": ""no compound matched"", ""studies"": 2}"
K4:boswellic acids,the ClinicalTrials.gov intervention strings recorded for this page never name it on its own; the page name is a fragment of a longer intervention name,"{""displayName"": ""Boswellic Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [""Boswellic acids (BOSWELAN)""], ""pubchem"": ""no compound matched"", ""studies"": 1}"
K4:caffeoylquinic acids,"the page name is a chemical-class term, not a substance name; no FDA substance record and no PubChem compound answers to it","{""displayName"": ""Caffeoylquinic Acids"", ""gsrs"": ""no substance record matched"", ""interventionStrings"": [], ""pubchem"": ""no compound matched"", ""studies"": 0}"
