"req_id","source_section","requirement","status","severity","evidence","evidence_class","document","user_impact","safety_privacy_impact","proposed_owner","dependency","confidence","acceptance_test"
"V19-IA-001","§2.1 / §16","One connected global navigation: Today, Community, Protocols, Wiki, Marketplace + persistent avatar opens Profile","partial","P2","Hydrated nav at 1440x900 on / = 7 links: 'RNAwiki -> /', 'Solve -> /solve', 'Where it hurts -> /where', 'My Plan -> /plan', 'Learn -> /learn', 'A-Z -> /az', 'Browse -> /browse' (puppeteer, header/nav anchors). curl: /today 404, /community 404, /marketplace 404, /protocols 404, /wiki 404. No avatar control in header.","OBSERVED FACT","hydrated + prerendered","A v1.9 user cannot reach Community or Marketplace at all; 'My Plan' is the only Today-like destination.","none directly","UX macro","none","high","At 1024/1280/1440/1728 the hydrated header exposes 5 named destinations with a current-state indicator and one avatar control that navigates to a profile route returning 200."
"V19-IA-002","§2.2 / §16","Contextual wiki return: opaque expiring session-stored context object; health state never in URL","absent","P1","/usr/bin/grep -ac 'Back to today' site/app.js = 0. No return-context store exists; mountExercise (site/app.js:8682) renders crumbs Home > Learn > {name} only. Plan rows link out with <a class='trk-i' href='#/exercise/{id}'> (site/app.js ~5985) and nothing carries the opener back.","OBSERVED FACT","code","A user who opens an exercise from their plan loses their place and must re-navigate; the loop 'do the action' breaks at the wiki hop.","Low. No health state is currently placed in a URL either (nothing to leak yet).","UX macro","V19-IA-001","high","Opening a wiki record from the plan renders a dominant 'Back to today's action' control; sessionStorage holds an opaque key; the wiki URL contains no pid/rcid/symptom; after expiry the page shows the authored context-expired copy."
"V19-IA-003","§2.4 / §16","Connected route journey with loading/permission/404/stale-context and no direct-enrollment or auto-scheduling escape","partial","P2","Real loading states exist (studioLoading site/app.js:9061, planLoading:5115, profileLoading). Real HTTP 404 exists (server.js:3070 notFoundPage, /nonexistent-xyz -> 404). Permission-denied and stale-context states are not implemented; 5 of the 8 v1.9 destination routes 404 (see V19-IA-001).","OBSERVED FACT","prerendered + code","Half the v1.9 journeys have no destination to connect.","none","UX macro","V19-IA-001","high","Every row of the §2.4 table resolves to a repo route that returns 200 and renders loading / permission / 404 / stale-context / return states."
"V19-IA-004","§2.3 / §16","Immutable ApprovedBlock id+version continuity; mismatch fails closed","partial","P1","studio_protocols.spec stores {k,id} references with 'EVERY KEY OTHER THAN k AND id IS AN OVERRIDE, AND ABSENCE MEANS INHERITANCE' (db.js:496-560 comment block) - correct identity-not-copy design. But there is NO version field on the referenced block: the corpus is a build artefact with no per-record version, and db.js states base_pid/base_rcid are 'NOT a foreign key ... the renderer degrades to started from scratch if a root cause is ever retired'.","OBSERVED FACT","code","A corpus correction silently changes every protocol that used the block, with no stale/updated notice to the participant.","Safety-relevant: a contraindication added to a compound reaches an existing plan with no 'this changed' state.","Content macro + integrator","build/parse.js record versioning","high","Every plan/studio item resolves an id AND a version; a version the corpus no longer has renders an explicit unavailable/stale state and never substitutes a similarly named block; assert gate added and proven by reintroducing a stale reference."
"V19-BLD-001","§3.3 / §16","Questions -> possible reason -> Plan -> Check-in grammar visible as four numbered stages","partial","P1","The four stages exist as separate ROUTES, not one grammar: /solve (questions) -> /problem/<id> (causes) -> /protocol/<id>/<rcid> (plan) -> /plan check-ins. Hydrated /problem/knee-pain = 8,500 words, H2s 'First - when this is not a self-care problem', 'Which one is you? - the 6 causes side by side', 'What's actually causing this - the 6 common causes in full'. The word 'Check-in' appears 1x in site/app.js; 'What may be going on' 0x; 'Possible reason' 0x.","OBSERVED FACT","hydrated","The model is implicit in the route order and never named, so a creator or reader is never told what the four stages are.","See V19-VOCAB-001 - the current wording asserts causation.","UX macro","none","high","A creator opening the builder sees four numbered column headings using the exact §1.1 vocabulary within one five-second view."
"V19-BLD-002","§3.5 / §16","One reserved bottom workbench; selecting a node never overlays or moves the map","absent","P2","No canvas, no node selection, no workbench. /studio hydrated = 1 h1 'Build a protocol', 126 words, 0 chapters, 0 details (qa/probe.mjs /studio). Builder UI is the linear step wizard renderPlanBuilder (site/app.js:5346) and the phone Studio (site/app.js:8795+, comment: 'THERE IS NO DRAG HANDLE').","OBSERVED FACT","hydrated","No visual flow builder exists to evaluate.","none","UX macro","V19-BLD-001","high","Selecting any node updates exactly one reserved region; screenshot diff shows zero map translation and zero overlay."
"V19-BLD-003","§3.5 §3.9 / §16","One Add command per focus; destination Plan inferred from selection","partial","P2","renderPlanBuilder has one add affordance per step ('+ Add your own {word}' + search, site/app.js:5380-5395) which satisfies the spirit. But the Studio has a separate 4-tab add sheet (ST_TAB, site/app.js:8828) and renderPlanFunctions has a third. Three different add surfaces exist across two builders.","OBSERVED FACT","code","Two parallel builders (plan wizard and Studio) with different add models is the duplicated-Add defect the spec names.","none","UX macro","decide which builder survives","medium","Exactly one Add affordance is present for the current focus in the surviving builder; the destination Plan is never re-asked."
"V19-BLD-004","§3.9 / §16","Curated selection: four families, at most 3 initial best-fit reviewed matches, full search secondary","partial","P2","Four families exist as kinds: ST_KIND = {c:'compound', x:'movement', f:'food', fn:'tool'} (site/app.js:8825). But there is no 'at most three best-fit' step - catalogSearch returns the full hit list and renderPlanBuilder renders all of it (site/app.js:5388-5395). The withheld-compound disclosure IS implemented and is a genuine strength (build-held copy, site/app.js:5390).","OBSERVED FACT","code","A novice is handed a library search instead of three reviewed defaults.","Positive: the restricted-compound withholding line is correct and build-gated.","UX macro","none","high","The Add flow shows at most 3 reviewed matches above the fold and the full-library search is reachable only below them."
"V19-BLD-005","§3.9 §3.10 / §16","Progressive professional settings: default Add succeeds; exact fields within two intentional interactions","partial","P2","Studio overrides exist (dose stepper, days, reorder - task #30 marked complete; ST spec keys dose/days/sets/reps in db.js:496 comment). Exercise professional fields present in data: prescription keys measured = source(873) sets(873) reps(750) tempo(750) rest(873) hold(123) cue(123). Absent from the schema entirely: side mode, load mode/unit, effort RPE/RIR, range, frequency/session slot, equipment substitutions, progression criteria.","OBSERVED FACT","code + data","A creator cannot express side, load or effort, so the prescription a participant sees is incomplete.","Low","Content macro","exercise schema extension","high","Every §3.10 Exercise field is enterable, and reachable within two intentional interactions from a successful default Add."
"V19-BLD-006","§3.9 / §16","No auto-open after Add; success returns to the selected Plan","existing","P3","renderPlanBuilder addExtra() (site/app.js:5382) sets the draft and calls renderPlan() - it re-renders the same step, opens no inspector.","OBSERVED FACT","code","Already correct in the surviving builder.","none","UX macro","none","high","Adding an item leaves the optional editor closed; measured with a DOM diff before/after Add."
