id,wave,group,severity,claim_type,finding,evidence_kind,evidence_locator,document,measured_value,expected_or_spec,spec_ref,status,confidence,contradicts,owner_decision_needed,notes
EV-A001,A,repo+live,P0,OBSERVED,"Production serves /u/<handle> as HTTP 200 with robots index,follow and the full home page body — a personal-profile URL space is index-eligible and unbounded",live-url,https://rnawiki.com/u/felix,hydrated,"200; robots=index,follow,max-image-preview:large; canonical=https://rnawiki.com/; h1='Turned away, priced out, or told it was nothing.'; 1229 words; X-Robots-Tag absent",v1.9 §13.2 thin/empty profiles use noindex-follow; §13.4 unknown profile routes return a real 404,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:829-853,contradictory,verified,,yes,"Fixed on branch refine/site-wide-2026-08 (server.js:2944 NOINDEX_ROUTES + 3050-3067) but UNPUBLISHED. Screenshot qa/out/w19/prod-u-felix.png"
EV-A002,A,repo+live,P0,OBSERVED,"Same defect on production for /pros /pro /s /stewardship /u/ /clinic — each returns 200 + index,follow serving a full duplicate of the home page",live-url,"https://rnawiki.com/pros, /pro, /s, /stewardship, /u/, /clinic",hydrated,"all 200; robots=index,follow; canonical=https://rnawiki.com/; h1 = home page h1; 1148-1229 words",v1.9 §13.4 withdrawn/thin content is not disguised as HTTP 200 or a soft 404,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:851,contradictory,verified,,no,"6 routes. Canonical to / limits duplicate-content harm but crawl budget is spent. audit/v19/live_route_inventory.csv"
EV-A003,A,repo+live,P1,OBSERVED,"Production /progress and /admin are 200 + index,follow and SELF-canonical, so they have no canonical mitigation at all",live-url,"https://rnawiki.com/progress, https://rnawiki.com/admin",hydrated,"/progress: 200, canonical=https://rnawiki.com/progress, h1='You haven''t started a plan yet', 119 words. /admin: 200, canonical=https://rnawiki.com/admin, h1='Super-admin only', 86 words",v1.9 §13 authenticated/owner workspaces are never indexable,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:812,contradictory,verified,,no,"Access control HOLDS on /admin — no data leaked, only the shell. Screenshots qa/out/w19/prod-progress.png, prod-admin.png"
EV-A004,A,repo+live,P1,OBSERVED,"/exercise and /fork are self-canonical index-eligible pages that hydrate to 2 words and never resolve — a soft 404 that invites indexing, on BOTH branch and production",live-url,"http://localhost:8099/exercise and https://rnawiki.com/exercise (same for /fork)",hydrated,"200; robots=index,follow; canonical=https://rnawiki.com/exercise (self); h1='Loading exercise…'; words=2",v1.9 §13.4 unknown wiki routes return a real HTTP 404 with useful recovery,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:851,absent,verified,,no,"Root cause: 'exercise','fork','clinic' are in SPA_ONLY_ROUTES (server.js:2900) but not in NOINDEX_ROUTES (server.js:2944). This is the one indexing defect the branch does NOT fix."
EV-A005,A,repo+live,P1,OBSERVED,"/u/<unknown handle> returns HTTP 200 on both origins — a soft 404 the branch does not close",live-url,"http://localhost:8099/u/zzz-no-such-handle ; https://rnawiki.com/u/zzz-no-such-handle",prerendered,both 200,v1.9 §13.4 unknown profile routes return a real HTTP 404,RNAwiki_Unified_Desktop_Experience_v1_9_Spec.md:851,partial,verified,,no,"Branch adds noindex,nofollow (server.js:3050-3067) but keeps 200. server.js:3033 SPA_ONE_ARG only rejects wrong ARITY (/u/ and /u/a/b), never an unknown handle."
EV-A006,A,repo+live,P1,OBSERVED,"HTML documents on production carry no ETag and no Last-Modified; If-Modified-Since:2040 returns 200 with the full body. The branch fixes this and returns 304.",live-url,"curl -I https://rnawiki.com/c/creatine-monohydrate vs http://localhost:8099/c/creatine-monohydrate",prerendered,"PROD: 0 of 631 HTML 200s carry an ETag. LOCAL: 633 of 633 do; If-None-Match returns 304 Not Modified.",conditional GET should be honoured,W0_BASELINE.md erratum E13,partial,verified,,no,"Closes W0 E13 for the branch; still open live. server.js:191-216 sendBody() / 222-262 sendAsset()"
EV-A007,A,repo+live,P1,OBSERVED,"Cloudflare returns Cache-Control: max-age=14400 for /data.js while the origin sets no-cache, so a returning reader can hold a 4-hour-stale copy of every dose, interaction rule and safety string",live-url,curl -I https://rnawiki.com/data.js,n/a,"cache-control: max-age=14400; cf-cache-status: REVALIDATED; server: cloudflare; origin sets no-cache at server.js:236-239",server.js:236-239 states the intent is 'no-cache for js/css/json so the CDN cannot pin a build',server.js:236-239,contradictory,verified,,yes,"Cloudflare zone configuration, NOT fixable in this repository. Needs Felix to set Browser Cache TTL to 'Respect Existing Headers'."
EV-A008,A,repo+live,P1,OBSERVED,"clinician_interest table retains name+email+discipline+country+professional licence number+base64 photograph of a credential document for a verification programme that was abolished; GET /api/clinician-photo still serves them",repo-path,db.js:301-314 and server.js:1991-2013,n/a,"table retained deliberately; access gated at server.js:2007 if(!isSuper(u)) 403 — access control HOLDS",earlier SAFETY/privacy contract: data minimisation; v1.9 §9.2 'email, precise age/location, consent record' never public,RNAwiki_Core_Protocol_PRD + v1.9 §9.2,existing,verified,,yes,"RETENTION question not an access hole. Belongs on the v1.9 removal list next to interest_signups. Code comment already says deletion should follow telling the people on the list."
EV-A009,A,repo+live,P2,OBSERVED,"POST /api/interest and the interest_signups table still exist after the owner removed the collection-of-interest feature; the landing form is gone and regrowth is gated",repo-path,"server.js:1045 (POST /api/interest), server.js:1093 (POST /api/interest/remove), db.js:342 (interest_signups)",prerendered,"curl localhost:8099/ contains none of: '/api/interest', 'name=\"topic\"', 'Count me in'. Gate at build/prerender.js:4487-4488 fails the build if any regrows.",owner decision 2026-08-11: remove the collection-of-interest feature entirely,task brief · owner decisions,partial,verified,,yes,"THE REMOVAL SCOPE, exactly as the brief predicted. Form removed; endpoint + table + removal-token flow remain."
EV-A010,A,repo+live,P2,OBSERVED,"GET /api/stats is live, unauthenticated and publishes an aggregate efficacy ratio on production",live-url,https://rnawiki.com/api/stats,n/a,"200 {\"experiments\":20,\"improved\":1,\"helped\":19}",AGENT_RULES 'DO NOT IMPLEMENT': do not ship any aggregate efficacy statistic; the gated feature stays dark,AGENT_RULES.md:54,contradictory,verified,,yes,"Display was removed (site/app.js:5104-5106) and grep -ac 'api.stats(' over app.js = 0 call sites, so nothing renders it. Endpoint + dead client method (app.js:848) remain."
