page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
HOLD:existing:clobetasol,K1:ADN79D536H,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII ADN79D536H: the structure on HOLD:existing:clobetasol is GSRS Clobetasol propionate (779619577M), one covalent molecule that adds propionate to CLOBETASOL. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,indexable,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:ADN79D536H,page_b,Clobetasol,CLOBETASOL,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:cortisone,K1:V27W9254FZ,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII V27W9254FZ: the structure on HOLD:existing:cortisone is GSRS Cortisone acetate (883WKN7W8X), one covalent molecule that adds acetate to Cortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,indexable,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:V27W9254FZ,page_b,Cortisone,Cortisone,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:megestrol,K1:EA6LD1M70M,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII EA6LD1M70M: the structure on HOLD:existing:megestrol is GSRS Megestrol Acetate (TJ2M0FR8ES), one covalent molecule that adds acetate to Megestrol. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,indexable,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:EA6LD1M70M,page_b,Megestrol,Megestrol,ester,same_unii; structure_conflict; moiety_match,,remainder
K1:01Q9PC255D,K1:5138Q19F1X,the evidence links the two pages but no rule in the spec's order decides them,separate,R4z shared parent QGZKDVFQNNGYKY has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:5138Q19F1X,page_b,Ammonium Chloride,Ammonia,,structure_conflict,,remainder
K1:094ZI81Y45,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:094ZI81Y45 is a mixed salt whose active moiety is Tamoxifen (094ZI81Y45); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Tamoxifen,Anhydrous Citric Acid,,structure_conflict,related_form_of,remainder
K1:0RH81L854J,K4:glutamine nitrate,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Glutamine Nitrate = Glutamine + nitrate,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K4:glutamine nitrate,page_b,Glutamine,Glutamine Nitrate,,,,review
K1:11P2JDE17B,K1:7GB7U7M282,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons UCMIRNVEIXFBKS vs OOJZCXFXPZGUBJ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:7GB7U7M282,page_b,BETA-ALANINE,Hypoglycine A,,structure_conflict,,remainder
K1:11P2JDE17B,K1:OF5P57N2ZX,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons UCMIRNVEIXFBKS vs QNAYBMKLOCPYGJ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:OF5P57N2ZX,page_b,BETA-ALANINE,Alanine,,structure_conflict,,remainder
K1:169D1260KM,K1:EAO03PE1TC,the evidence links the two pages but no rule in the spec's order decides them,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: SODIUM NITROPRUSSIDE = NITROPRUSSIDE + sodium,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:EAO03PE1TC,page_b,NITROPRUSSIDE,SODIUM NITROPRUSSIDE,,structure_conflict,,remainder
K1:17LEI49C2G,K1:3A9RD92BS4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: GALLIUM MALTOLATE ['17LEI49C2G'] and Maltol ['3A9RD92BS4'], preferred names GALLIUM MALTOLATE and Maltol; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:3A9RD92BS4,page_b,GALLIUM MALTOLATE,Maltol,,structure_conflict,related_form_of,remainder
