page_a,page_b,verdict,evidence,confidence
HOLD:existing:clobetasol,K1:ADN79D536H,form_of,"R1x §3.2 exception to the shared UNII ADN79D536H: the structure on HOLD:existing:clobetasol is GSRS Clobetasol propionate (779619577M), one covalent molecule that adds propionate to CLOBETASOL. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:cortisone,K1:V27W9254FZ,form_of,"R1x §3.2 exception to the shared UNII V27W9254FZ: the structure on HOLD:existing:cortisone is GSRS Cortisone acetate (883WKN7W8X), one covalent molecule that adds acetate to Cortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:megestrol,K1:EA6LD1M70M,form_of,"R1x §3.2 exception to the shared UNII EA6LD1M70M: the structure on HOLD:existing:megestrol is GSRS Megestrol Acetate (TJ2M0FR8ES), one covalent molecule that adds acetate to Megestrol. An ester or acyl derivative is a distinct substance, so the pages split and link",high
K1:01Q9PC255D,K1:5138Q19F1X,separate,R4z shared parent QGZKDVFQNNGYKY has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:094ZI81Y45,K1:XF417D3PSL,separate,"R6 the GSRS record on K1:094ZI81Y45 is a mixed salt whose active moiety is Tamoxifen (094ZI81Y45); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:0RH81L854J,K4:glutamine nitrate,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Glutamine Nitrate = Glutamine + nitrate,medium
K1:11P2JDE17B,K1:7GB7U7M282,separate,R8s the two held structures settle it: different skeletons UCMIRNVEIXFBKS vs OOJZCXFXPZGUBJ; a name rule does not overrule a structure comparison,high
K1:11P2JDE17B,K1:OF5P57N2ZX,separate,R8s the two held structures settle it: different skeletons UCMIRNVEIXFBKS vs QNAYBMKLOCPYGJ; a name rule does not overrule a structure comparison,high
K1:169D1260KM,K1:EAO03PE1TC,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: SODIUM NITROPRUSSIDE = NITROPRUSSIDE + sodium,medium
K1:17LEI49C2G,K1:3A9RD92BS4,separate,"R9a two separately registered FDA substances: GALLIUM MALTOLATE ['17LEI49C2G'] and Maltol ['3A9RD92BS4'], preferred names GALLIUM MALTOLATE and Maltol; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:1PIO77PW2X,K1:XGF7L72M0F,separate,R9c Fish Oil and Fish are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:1XU104G55N,,merge,R0 already-merged: corpus merge map records K1:P4SG24WI5Q -> K1:1XU104G55N; the two names denote one live page (Colesevelam),high
K1:1XU104G55N,,merge,R0 already-merged: corpus merge map records K1:P4SG24WI5Q -> K1:1XU104G55N; the two names denote one live page (Colesevelam),high
K1:1Y17CTI5SR,K3:CHEMBL2108974,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: INSULIN HUMAN ZINC = Insulin human + zinc,medium
K1:241ATL177A,K1:L7HT8F1ZOD,separate,R9c Soybean Oil and Soybean are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:26GW6E5M72,K1:M4F288ZCTR,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: HEPARIN CALCIUM = Heparin (PORCINE; 7000 MW) + calcium,medium
K1:3LE3D9D6OY,K1:G2SH0XKK91,merge,R5 FDA active moiety: GSRS gives Retinol (81G40H8B0T) as the active moiety of Vitamin A Acetate,medium
K1:411VRN1TV4,K1:8M4L3H2ZVZ,separate,R4z shared parent GRYLNZFGIOXLOG has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:411VRN1TV4,K1:RU45X2JN0Z,separate,R4z shared parent GRYLNZFGIOXLOG has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:438HCF2X0M,K1:L7CHH2B2J0,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: DEFIBROTIDE SODIUM = Defibrotide (BOVINE) + sodium,medium
K1:45P3261C7T,K1:BQN1B9B9HA,separate,"R4y both are salts of BVKZGUZCCUSVTD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:45P3261C7T,K1:H0G9379FGK,separate,"R4y both are salts of BVKZGUZCCUSVTD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:4G4WDK2YBS,K1:94ZLA3W45F,separate,"R6 the GSRS record on K1:4G4WDK2YBS is a mixed salt whose active moiety is ZOFENOPRILAT (4G4WDK2YBS); Arginine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:4T6H12BN9U,K1:B6E5W8RQJ4,separate,"R9a two separately registered FDA substances: Petrolatum ['4T6H12BN9U'] and White Petrolatum ['B6E5W8RQJ4'], preferred names PETROLATUM and WHITE PETROLATUM; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:5138Q19F1X,K1:67M901L9NQ,separate,"R4w Ammonia appears only as a fragment of Ammonium Lactate, not as its parent moiety",high
K1:5138Q19F1X,K1:AC80WD7GPF,separate,"R4w Ammonia appears only as a fragment of Ammonium Benzoate, not as its parent moiety",high
K1:5138Q19F1X,K1:R0JB3224WS,separate,R4z shared parent QGZKDVFQNNGYKY has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
