page_type,spec_ref,route_pattern,pages_built,spec_title_template_EXACT,spec_description_template_EXACT,current_title_template_MEASURED,current_description_source_MEASURED,index_gate,canonical_rule,schema_type_required,schema_type_MEASURED,ugc_rel_rule,sitemap_membership,lastmod_rule,404_behaviour_required,404_behaviour_MEASURED,forbidden_private_fields,status,evidence
Profile (public creator),13.1 / 13.2 / 13.3,/u/<handle>,0,"@{handle}'s Core Protocol | RNAwiki","Join {displayName}'s current {duration}-day {goal} protocol. Review the steps, time commitment, safety notes and community alternatives before you start.",NOT IMPLEMENTED — serves the SPA shell title,none,"Index ONLY with valid ownership + current reviewed Coaching Core Protocol + unique creator context + complete trust/disclosure metadata + no abuse/suspension. Empty/untrusted/suspended/review-expired/near-duplicate/thin => noindex,follow","Absolute, self-consistent, query/state stripped. Never canonicalise different creators together.",ProfilePage with exactly one Person or Organization mainEntity using ONLY public allowlisted fields,none (SPA shell emits WebSite only),"External creator links rel=""ugc nofollow""; paid also ""sponsored""; internal contextual links get NO ugc",Excluded until index-eligible; never in sitemap while private,Material human/content/review/regulatory update only,Real HTTP 404 for unknown handle with useful recovery; no soft 404,"SOFT 404 — GET /u/nobody-xyz returns HTTP 200, 5313 bytes, identical for every handle","symptoms, outcomes, diagnoses, inferred contributors, current medicines/supplements, doses, interactions, safety events, private notes, observation data, adherence, confounders, assessment answers, eligibility results, email, precise age/location, consent record, Credit balance, marketplace purchases, service bookings, raw analytics events",absent + soft-404 defect,"curl -D - localhost:8099/u/nobody-xyz => HTTP/1.1 200; X-Robots-Tag: noindex, nofollow. server.js:3048"
Profile (owner view),9.1 / 9.2,/me,1 (shell),n/a — never indexable,n/a,"Your page — what you follow and what you built · RNAwiki","One-off authored string, 130 chars",Never indexable,n/a — excluded,none,WebSite (SPA shell),n/a,MUST be absent from sitemap,n/a,n/a,200 with noindex+nofollow (correct for an owner surface),"same allowlist as above; plus Credit balance and purchases",PASS,"curl: X-Robots-Tag: noindex, nofollow. grep '<loc>https://rnawiki.com/me' sitemap.xml => 0 matches (only /methodology)"
Protocol (creator-published),13.1 / 13.2,/protocol/<problem>/<cause>,52,"{Protocol title} by @{handle} — Steps, time and safety | RNAwiki","Preview the reviewed {duration}-day protocol, daily commitment, suitability, stop rules, creator notes and accepted alternatives.","{Problem}: {cause} · RNAwiki  (no creator attribution, no ""Steps, time and safety"")","Authored cause summary + ""Free first step, $0: …"" — 107 to 155 chars","Exact duplicated protocols without material reviewed creator value => noindex,follow + visible reference to the immutable source protocol/version. Materially distinct reviewed version self-canonicalises only after its quality gate passes.",Self-canonical; never canonicalise different protocol versions together,WebPage + BreadcrumbList,"MedicalWebPage + BreadcrumbList + HowTo + HowToStep + FAQPage + MedicalCondition (52/52)","n/a today (no UGC); required once creator protocols publish",52/52 in sitemap,Material update only,Real HTTP 404,Real HTTP 404 (verified on an unknown cause slug),"creator's own symptoms/outcomes; other participants' prescriptions; assessment answers",partial — no creator/version/duplicate contract,"prerender.js; site/protocol/*; sitemap.xml 52 <loc> entries"
Exercise wiki,13.1 / 6,/exercise/<slug>,0 prerendered,"{Exercise name}: How to do it, form and versions | RNAwiki","See {exercise name} with a step-by-step demonstration, exact Plan prescription, form cues, muscles used, easier version and sources.",NOT PRERENDERED — /exercise/* is SPA-only (analytics template 'exercise' exists in A_TPL),none,Index when reviewed,Self-canonical absolute,WebPage + BreadcrumbList,none,Internal contextual links get NO ugc,Absent from sitemap,Material update only,Real HTTP 404,could-not-check (no prerendered route),"viewer's own prescription; return-context state",absent,"site/app.js A_TPL includes exercise: 'exercise'; no site/exercise/ directory exists"
Stretch / mobility wiki,13.1 / 7,/stretch/<slug>,0,"{Stretch name}: Position, hold and range | RNAwiki","See {stretch name} with a step-by-step demonstration, exact hold, expected sensation, smaller-range option, body area and sources.",NOT IMPLEMENTED,none,Index when reviewed,Self-canonical absolute,WebPage + BreadcrumbList,none,No ugc on internal links,Absent,Material update only,Real HTTP 404,could-not-check,"viewer's own hold prescription",absent,no route serves /stretch/*
Supplement / drug wiki,13.1 / 8,/c/<slug>,171,"{Exact formulation}: Evidence, safety and mechanism | RNAwiki","Review outcome-specific evidence, absolute results, mechanism, formulation, safety, interactions, jurisdiction and sources for {exact formulation}.","{Name}: dosage, evidence & uses · RNAwiki","Authored plain-English lead, 91 to 155 chars","Index all 171 today. Spec adds: never inherit evidence across formulations; jurisdiction source/version visible",Self-canonical 171/171,WebPage + BreadcrumbList,"MedicalWebPage + Drug(about) + BreadcrumbList + FAQPage (158/171) or without FAQPage (13/171)","320 outbound citation links currently carry rel=""nofollow noopener"" — see seo_discovery_audit.md D4",171/171 in sitemap,Material update only,Real HTTP 404,"Real HTTP 404 on /c/not-a-compound (no X-Robots-Tag on that response — minor inconsistency)","dose the viewer takes; interactions computed for the viewer; their stack",partial — title/desc templates differ from spec; jurisdiction absent,"171 files under site/c/; python scan of prerendered HTML"
Compound comparison,13.2,/compare/<a>-vs-<b>,123,not specified in v1.9,not specified in v1.9,"{A} vs {B}: which works better? · RNAwiki","Compare {A} and {B} for {goal}: human evidence, mechanism, safety and availability compared.",Index,Self-canonical 123/123,not specified,MedicalWebPage + BreadcrumbList + FAQPage (123/123),no external links at all,123/123,Material update only,Real HTTP 404,not tested,none applicable (no personal data),PASS (out of v1.9 scope),python scan; sitemap
Problem / root cause,13.2,/problem/<slug>,41,not specified in v1.9,not specified in v1.9,"Why {problem} happens: every cause · RNAwiki","The {n} common causes of {problem} — the mechanism behind each, how to tell which is yours, and what to do about it.",Index,Self-canonical 41/41,not specified,MedicalWebPage + MedicalCondition + BreadcrumbList (41/41),no external links,41/41,Material update only,Real HTTP 404,Real HTTP 404,"the reader's own answers to the cause-finder must never reach the URL or metadata",PASS with one copy defect (lowercase 'pcos' in title),"site/problem/pcos.html title: 'Why pcos / hormonal weight happens: every cause · RNAwiki'"
Goal,13.2,/goal/<slug>,16,not specified,not specified,"{Goal}: what actually helps · RNAwiki","{n} you can buy and {m} that need a prescription that help you {goal}, plus {k} full protocols — ranked by strength of human evidence.",Index,Self-canonical 16/16,not specified,MedicalWebPage + BreadcrumbList (16/16),none,16/16,Material update only,Real HTTP 404,not tested,none,PASS,python scan
Molecular target,13.2,/target/<symbol>,103,not specified,not specified,"{SYMBOL} ({name}) · RNAwiki","{SYMBOL} ({name}) — {one-line}",Index,Self-canonical 103/103,not specified,WebPage + BreadcrumbList (103/103),none,103/103,Material update only,Real HTTP 404,not tested,none,PASS,python scan
